temp_start,temp_complete,action_length
58.239,62.962,3296.0
62.319,68.056,5169.0
61.977,63.347,701.0
59.702,73.429,13340.0
68.4,68.527,398.0
61.376,69.728,7901.0
61.032,61.333,378.0
60.561,61.29,383.0
66.6,66.643,604.0
66.385,73.515,3626.0
63.819,70.673,4656.0
70.846,71.19,618.0
63.09,63.262,466.0
63.475,68.484,3152.0
67.842,68.956,1880.0
73.904,74.943,325.0
72.783,73.645,412.0
74.467,74.77,275.0
74.163,75.029,274.0
74.163,74.986,264.0
73.99,75.853,424.0
75.853,76.071,344.0
76.203,76.811,285.0
76.507,76.942,285.0
76.507,76.942,284.0
77.117,77.945,315.0
77.335,77.815,295.0
77.639,78.033,275.0
77.727,78.208,265.0
77.859,78.296,265.0
77.815,78.033,255.0
77.77,78.121,255.0
77.77,78.208,255.0
77.945,78.076,265.0
77.727,78.208,255.0
77.815,78.251,245.0
77.945,78.339,256.0
77.859,78.165,255.0
77.815,78.165,245.0
77.859,78.296,245.0
77.99,78.339,234.0
72.955,74.25,744.0
74.25,75.333,385.0
75.333,76.375,345.0
74.554,75.16,255.0
75.16,75.508,225.0
75.333,76.028,245.0
76.028,76.332,322.0
76.332,76.854,324.0
76.854,77.378,314.0
77.247,77.639,285.0
77.553,77.727,275.0
77.727,78.076,285.0
77.639,78.076,285.0
77.77,78.033,265.0
77.727,78.033,275.0
77.77,78.208,275.0
77.727,77.945,265.0
77.684,77.99,265.0
77.77,78.076,276.0
77.727,77.859,276.0
77.684,77.99,275.0
77.815,78.076,264.0
77.727,77.859,264.0
77.684,77.99,274.0
77.815,78.208,254.0
77.77,78.033,254.0
77.639,77.859,255.0
77.99,78.033,245.0
77.902,78.076,245.0
71.964,74.856,762.0
76.158,76.55,335.0
76.55,77.117,305.0
77.247,77.509,285.0
77.553,77.727,285.0
77.77,78.121,276.0
77.815,78.121,275.0
77.815,78.121,255.0
77.684,78.033,254.0
77.684,78.033,255.0
77.684,78.033,255.0
77.639,77.859,274.0
77.553,77.859,295.0
77.639,77.945,285.0
77.639,77.859,285.0
77.77,78.076,295.0
77.684,78.033,305.0
77.639,77.902,295.0
77.639,77.902,295.0
77.639,77.902,295.0
77.596,77.902,305.0
77.684,77.859,295.0
77.639,77.727,305.0
77.727,77.945,305.0
77.596,77.859,304.0
77.639,77.99,325.0
77.639,77.902,305.0
77.596,77.684,285.0
77.684,77.902,275.0
77.639,77.945,255.0
77.596,77.77,275.0
65.059,74.12,2066.0
74.12,74.683,505.0
74.683,75.29,435.0
75.29,76.028,435.0
76.028,76.507,375.0
76.854,76.942,355.0
76.942,77.335,345.0
77.072,77.16,345.0
77.16,77.421,354.0
77.072,77.335,355.0
77.16,77.335,355.0
77.335,77.639,355.0
77.292,77.509,345.0
77.203,77.378,345.0
77.378,77.684,355.0
77.247,77.553,345.0
77.247,77.292,334.0
77.292,77.596,334.0
77.292,77.335,344.0
77.335,77.553,334.0
77.292,77.335,354.0
77.335,77.596,344.0
77.292,77.378,334.0
77.378,77.553,334.0
77.335,77.509,335.0
77.509,77.815,305.0
77.464,77.639,285.0
77.639,77.859,295.0
77.421,77.596,284.0
77.596,77.945,275.0
77.596,77.727,275.0
77.727,77.99,275.0
77.596,77.815,285.0
77.815,78.033,285.0
68.484,73.299,1470.0
73.299,74.813,505.0
76.289,76.464,344.0
76.464,76.725,324.0
76.725,77.117,315.0
77.203,77.464,285.0
77.464,77.639,285.0
77.639,77.902,295.0
77.509,77.639,295.0
77.639,77.859,285.0
77.553,77.639,285.0
77.639,77.859,285.0
77.553,77.77,285.0
77.596,77.902,284.0
77.639,77.945,284.0
77.684,77.99,284.0
77.596,77.902,285.0
77.684,77.815,284.0
77.815,78.033,275.0
77.684,77.99,275.0
77.639,77.902,275.0
77.727,77.77,285.0
77.77,78.165,265.0
77.77,78.076,274.0
77.727,77.945,255.0
77.639,77.99,255.0
77.727,78.208,255.0
77.815,78.165,255.0
77.727,78.076,255.0
67.413,72.007,1213.0
72.007,73.256,475.0
74.943,75.42,560.0
75.42,75.81,405.0
75.81,76.332,365.0
76.332,76.942,355.0
77.117,77.292,305.0
77.16,77.464,295.0
77.378,77.596,294.0
77.421,77.596,305.0
77.596,77.859,295.0
77.553,77.77,295.0
77.596,77.815,286.0
77.815,78.076,286.0
77.596,77.859,296.0
77.859,78.076,285.0
77.639,77.902,294.0
77.684,77.902,274.0
77.639,77.902,284.0
77.684,77.99,285.0
77.684,77.77,275.0
77.77,78.121,275.0
77.77,78.033,274.0
77.639,78.076,274.0
77.77,78.076,284.0
77.77,77.902,274.0
77.902,78.165,275.0
77.77,77.815,275.0
77.815,78.165,275.0
77.902,78.208,265.0
77.684,78.033,255.0
77.77,78.165,275.0
77.596,77.99,265.0
77.727,77.902,285.0
77.727,78.121,275.0
77.684,77.99,275.0
77.77,78.165,274.0
77.684,78.121,264.0
77.639,78.033,274.0
77.727,78.076,265.0
77.815,78.208,244.0
77.77,78.165,254.0
77.77,78.208,254.0
77.509,78.033,214.0
77.378,78.033,235.0
77.378,78.033,235.0
77.639,78.121,225.0
77.684,78.208,325.0
78.033,78.208,325.0
75.724,75.985,205.0
75.81,76.028,225.0
75.81,76.028,215.0
75.594,76.114,225.0
75.594,76.028,215.0
75.724,76.028,225.0
75.637,76.071,225.0
75.681,76.203,195.0
75.204,75.853,215.0
75.42,75.898,215.0
70.416,73.818,849.0
76.028,76.158,325.0
76.158,76.725,305.0
