integration,status,passed,failed,errors,skipped,duration_s,dominant_bucket
acaia,pass,24,0,0,0,3.52,
accuweather,pass,38,0,0,0,5.08,
acmeda,pass,8,0,0,0,2.59,
actron_air,pass,49,0,0,0,5.25,
adax,pass,20,0,0,0,2.86,
adguard,pass,36,0,0,0,3.42,
advantage_air,pass,20,0,0,0,4.91,
aemet,issues,16,1,0,0,3.26,
aftership,pass,2,0,0,0,2.29,
aidot,pass,16,0,0,0,2.90,
airgradient,pass,47,0,0,0,4.70,
airly,issues,21,1,0,0,2.99,
airnow,issues,9,1,0,0,2.55,
airobot,pass,60,0,0,0,4.85,
airos,pass,62,0,0,0,4.89,
airpatrol,pass,25,0,0,0,3.19,
airq,issues,22,1,0,0,3.30,
airthings,pass,12,0,0,0,2.56,
airthings_ble,pass,38,0,0,0,4.13,
airtouch4,pass,5,0,0,0,2.39,
airtouch5,pass,5,0,0,0,2.45,
airvisual,issues,15,1,0,0,2.95,
airvisual_pro,issues,10,1,0,0,2.68,
airzone,issues,37,1,0,0,5.58,
airzone_cloud,issues,26,1,0,0,4.95,
aladdin_connect,issues,32,1,0,0,3.78,
alarmdecoder,pass,8,0,0,0,2.40,
alexa_devices,issues,72,1,0,0,7.34,
altruist,pass,11,0,0,0,2.61,
amberelectric,pass,39,0,0,0,3.62,
ambient_network,pass,7,0,0,0,2.76,
ambient_station,issues,3,1,0,0,2.59,
analytics_insights,pass,20,0,0,0,3.11,
androidtv,pass,79,0,0,0,5.23,
androidtv_remote,pass,40,0,0,0,4.60,
anglian_water,pass,14,0,0,0,3.52,
anova,pass,11,0,0,0,2.65,
anthemav,pass,11,0,0,0,2.59,
aosmith,pass,33,0,0,0,3.64,
apcupsd,pass,44,0,0,0,4.29,
apple_tv,pass,51,0,0,0,4.60,
aprilaire,pass,3,0,0,0,2.51,
apsystems,pass,13,0,0,0,3.03,
aquacell,pass,13,0,0,0,2.89,
aranet,pass,19,0,0,0,3.42,
arcam_fmj,pass,85,0,0,0,5.84,
arve,pass,5,0,0,0,2.70,
aseko_pool_live,pass,13,0,0,0,2.80,
asuswrt,pass,60,0,0,0,4.68,
atag,pass,14,0,0,0,2.94,
aurora,pass,4,0,0,0,2.48,
aurora_abb_powerone,pass,7,0,0,0,6.85,
aussie_broadband,pass,14,0,0,0,2.68,
autarco,pass,13,0,0,0,2.73,
autoskope,pass,22,0,0,0,2.91,
avea,pass,20,0,0,0,3.12,
awair,pass,24,0,0,0,2.73,
aws_s3,pass,51,0,0,0,4.96,
azure_data_explorer,pass,18,0,0,0,2.75,
azure_devops,pass,20,0,0,0,2.82,
azure_event_hub,pass,21,0,0,0,2.65,
azure_storage,pass,25,0,0,0,3.70,
backblaze_b2,pass,77,0,0,0,5.64,
baf,pass,8,0,0,0,2.46,
balboa,pass,42,0,0,0,5.47,
bang_olufsen,issues,100,2,0,0,35.95,
bayesian,pass,48,0,0,0,3.16,
blebox,pass,117,0,0,0,8.95,
blue_current,pass,28,0,0,0,3.03,
bluemaestro,pass,11,0,0,0,2.77,
bluesound,pass,39,0,0,0,4.73,
bluetooth,issues,234,1,0,1,9.76,
bond,pass,141,0,0,0,6.29,
bosch_alarm,pass,121,0,0,0,11.87,
bosch_shc,pass,16,0,0,0,2.66,
braviatv,issues,19,1,0,0,2.74,
bring,pass,72,0,0,0,6.03,
broadlink,pass,104,0,0,0,4.81,
brother,pass,33,0,0,0,7.24,
